Arkansas Nuclear One,35.3102777778,93.2313888889,3359,1481.3
Beaver Valley,40.6233333333,80.4305555556,2601,1201.9
Big Rock Point,45.3588888889,85.1972222222,441,57.9
Braidwood,41.2436111111,88.2291666667,3099,1305
Browns Ferry,34.7038888889,87.1186111111,12594,2264.4
Brunswick,33.9583333333,78.0102777778,8104,1457.3
Byron,42.0741666667,89.2819444444,3378,1423.6
Callaway,38.7616666667,91.78,1938,821.3
Calvert Cliffs,38.4319444444,76.4422222222,3638,1423.8
Catawba,35.0516666667,81.07,3155,1409.4
Clinton,40.1722222222,88.835,3650,659
Columbia,46.4711111111,119.3338888889,4117,725.3
Comanche Peak,32.2983333333,97.785,2941,1235.1
Cook,41.9752777778,86.5658333333,3732,1637.3
Cooper,40.3619444444,95.6413888889,2725,490.8
Crystal River,28.9575,82.6983333333,1243,582.2
Davis-Besse,41.5966666667,83.0863888889,1266,601.4
Diablo Canyon,35.2108333333,120.8561111111,3183,1371.7
Dresden,41.3897222222,88.2680555556,10135,1720.8
Duane Arnold,42.1005555556,91.7772222222,3217,581.2
Farley,31.2230555556,85.1116666667,3233,1420.6
Fermi,41.9627777778,83.2575,3395,595.4
Fitzpatrick,43.5233333333,76.3983333333,3879,701.8
Fort Calhoun,41.5202777778,96.0772222222,1183,433.7
Ginna,43.2777777778,77.31,1397,511.5
Grand Gulf,32.0066666667,91.0483333333,5260,929.4
Haddam Neck,41.4819444444,72.4991666667,1019,413.5
Harris,35.6333333333,78.955,1189,538.4
Hatch,31.9341666667,82.3438888889,9036,1626.9
Hope Creek,39.4677777778,75.5380555556,4303,773.2
Humboldt Bay,40.7413222222,124.2090444444,390,28.9
Indian Point,41.2697222222,73.9522222222,3355,1482
Kewaunee,44.3422222222,87.5361111111,1335,518.7
LaCrosse,43.56006,91.231485,333,38
La Salle,41.2455555556,88.6691666667,8487,1520.3
Limerick,40.2266666667,75.5872222222,8507,1515.3
Maine Yankee,43.9517583333,69.6962277778,1434,542.3
McGuire,35.4325,80.9483333333,3460,1554.3
Millstone,41.3119444444,72.1686111111,5913,1809.5
Monticello,45.3336111111,93.8491666667,2426,420.9
Nine Mile Point,43.5208333333,76.4069444444,7727,1363.9
North Anna,38.0605555556,77.7894444444,3052,1414.6
Oconee,34.7938888889,82.8980555556,5089,2371.7
Oyster Creek,39.8147222222,74.205,3811,678
Palisades,42.3227777778,86.3144444444,1644,674.9
Palo Verde,33.3891666667,112.865,5494,2359
Peach Bottom,39.7583333333,76.2680555556,10570,1899.6
Perry,41.8008333333,81.1433333333,4079,735.3
Pilgrim,41.945,70.5783333333,3390,603.5
Point Beach,44.2811111111,87.5366666667,2425,929.1
Prairie Island,44.6216666667,92.6330555556,2425,929.1
Quad Cities,41.7263888889,90.31,9572,1701.7
Rancho Seco,38.3452777778,121.1216666667,493,228.4
River Bend,30.7566666667,91.3333333333,4080,721.9
Robinson,34.4027777778,80.1583333333,1625,704.5
Saint Lucie,27.3486111111,80.2463888889,3511,1362.6
Salem,39.4627777778,75.5355555556,3190,1464.6
San Onofre,33.3688888889,117.555,3855,1608.8
Seabrook,42.8988888889,70.8508333333,1370,627.3
Sequoyah,35.2263888889,85.0916666667,1370,627.3
South Texas,28.7955555556,96.0488888889,2546,1365.4
Summer,34.2986111111,81.3147222222,1440,615.9
Surry,37.1655555556,76.6977777778,3107,1425.6
Susquehanna,41.0888888889,76.1488888889,9888,1745.8
Three Mile Island,40.1538888889,76.7247222222,1421,668.9
Trojan,46.0383333333,122.885,791,359.3
Turkey Point,25.4341666667,80.3305555556,2898,1321
Vermont Yankee,42.7788888889,72.5130555556,3701,671.9
Vogtle,33.1430555556,81.7658333333,3246,1401
Waterford,29.9952777778,90.4711111111,1859,781.5
Watts Bar,35.6027777778,84.7894444444,1046,481.7
Wolf Creek,38.2388888889,95.6888888889,1691,776.7
Yankee Rowe,42.7278388889,72.9291083333,533,127.1
Zion,42.4463888889,87.8030555556,2226,1019.4
